ID,Level,Title,Summary
IS0,0,"IS Acquisition and Development","The core focus of this chapter, covering project management, development methodologies, and controls."
IS1.1,1,"Project Governance and Management",""
IS1.1.1,2,"Project Management Practices",""
IS1.1.1.1,3,"Definition and Scope","Defined policies and procedures used to plan, execute, and control IS projects."
IS1.1.2,2,"Project Management Structure",""
IS1.1.2.1,3,"Organizational Framework","Organizational framework defining how project teams interact and report."
IS1.1.3,2,"Project Management Roles and Responsibility",""
IS1.1.3.1,3,"Duty Definition","Clear definition of duties for all personnel involved in the project."
IS1.1.4,2,"Project Management Techniques",""
IS1.1.4.1,3,"Common Tools and Methods","Tools and methods like PERT, Gantt charts, or critical path analysis."
IS1.1.5,2,"Portfolio/Program Management",""
IS1.1.5.1,3,"Portfolio Oversight","Strategic selection of projects aligned with organizational goals (portfolio)."
IS1.1.5.2,3,"Program Oversight","Oversight of multiple related projects (program)."
IS1.1.6,2,"Project Management Office (PMO)",""
IS1.1.6.1,3,"Function and Standardization","Centralized department that standardizes project governance and processes."
IS1.1.7,2,"Project Benefit Realization",""
IS1.1.7.1,3,"Value Assurance","Ensuring the project delivers the intended business value and measurable outcomes."
IS1.1.8,2,"Project Initiation",""
IS1.1.8.1,3,"Formal Start","The formal process of starting a new project or phase."
IS1.1.9,2,"Project Objectives",""
IS1.1.9.1,3,"SMART Goals","Specific, measurable, achievable, relevant, and time-bound goals for the project."
IS1.1.10,2,"Project Planning","Developing the project management plan, scope, schedule, and resource allocation."
IS1.1.10.1,3,"Schedule Development","The process of determining task sequences and durations."
IS1.1.10.1.1,4,"Gantt Chart Creation (L4 Example)","A specific tool used for visualizing the project timeline and dependencies."
IS1.1.11,2,"Project Execution",""
IS1.1.11.1,3,"Task Implementation","Carrying out the planned tasks and producing the deliverables."
IS1.1.12,2,"Project Controlling and Monitoring",""
IS1.1.12.1,3,"Performance Tracking","Tracking, reviewing, and regulating the progress and performance of the project."
IS1.1.13,2,"Project Closing",""
IS1.1.13.1,3,"Formal Completion","Formal completion of the project, including delivery, review, and documentation."
IS1.2,1,"Business Case and Feasibility Analysis",""
IS1.2.1,2,"Project Scope",""
IS1.2.1.1,3,"Defining Boundaries","The boundaries and limits of the project, defining what is and is not included (scope management)."
IS1.2.2,2,"Current Analysis",""
IS1.2.2.1,3,"System Assessment","Assessment of the existing system or process to identify weaknesses and opportunities."
IS1.2.3,2,"Requirements",""
IS1.2.3.1,3,"Functional Requirements","Detailed needs describing what the system must do."
IS1.2.3.2,3,"Non-Functional Requirements","Detailed constraints on how the system must perform (e.g., security, performance, reliability)."
IS1.2.4,2,"Approach",""
IS1.2.4.1,3,"Development Strategy","The planned method or strategy for system development (e.g., in-house, purchase, outsourcing)."
IS1.2.5,2,"Evaluation",""
IS1.2.5.1,3,"Alternative Analysis","Analyzing costs, benefits, and risks across different solution alternatives."
IS1.2.6,2,"Review",""
IS1.2.6.1,3,"Business Case Approval","Formal assessment of the business case before approval to proceed."
IS1.3,1,"System Development Methodologies",""
IS1.3.1,2,"Business Application Development",""
IS1.3.1.1,3,"Software Creation","The process of creating software or applications to meet specific business needs."
IS1.3.2,2,"SDLC Models",""
IS1.3.2.1,3,"Framework Examples","Different frameworks for system development, such as Waterfall, Agile, or V-model."
IS1.3.3,2,"SDLC Phases",""
IS1.3.3.1,3,"Sequential Steps","Sequential steps in the System Development Life Cycle (e.g., Planning, Analysis, Design, Implementation, Maintenance)."
IS1.3.4,2,"Software Development Methods",""
IS1.3.4.1,3,"Coding and Testing Techniques","Specific techniques used in coding and testing, like object-oriented programming or structured programming."
IS1.3.5,2,"System Development Tools and Productivity Aids",""
IS1.3.5.1,3,"Efficiency Tools","CASE tools, code generators, debuggers, and other tools that enhance development efficiency."
IS1.3.6,2,"Infrastructure Development/Acquisition Practices",""
IS1.3.6.1,3,"Planning and Design","The process of planning, designing, and acquiring the necessary hardware, network, and operating systems."
IS1.3.7,2,"Hardware/Software Acquisition",""
IS1.3.7.1,3,"Procurement and Testing","Procedures for procurement, testing, and implementation of new technology components."
IS1.3.8,2,"System Software Acquisition",""
IS1.3.8.1,3,"Foundational Software","Acquiring operating systems, database management systems, and other foundational software."
IS1.4,1,"Control Identification and Design",""
IS1.4.1,2,"Input/Origination Controls",""
IS1.4.1.1,3,"Data Capture and Authorization","Controls ensuring data is accurately captured and authorized at the source (e.g., validation checks, sequence checks)."
IS1.4.2,2,"Processing Procedures and Controls",""
IS1.4.2.1,3,"Data Integrity in Processing","Controls ensuring data is correctly processed (e.g., batch totals, cross-footing, limit checks)."
IS1.4.3,2,"Output Controls",""
IS1.4.3.1,3,"Accuracy, Security, and Distribution","Controls ensuring output is accurate, secure, and delivered only to authorized recipients (e.g., review procedures, reconciliation)."
IS1.4.4,2,"Application Controls",""
IS1.4.4.1,3,"Embedded Software Controls","Controls embedded within the application software itself to ensure data integrity and security (e.g., access controls, audit trails)."
IS1.4.5,2,"User Procedures",""
IS1.4.5.1,3,"Manual Operations and Policies","Manual steps and policies users follow to operate the system securely and correctly."
IS1.4.6,2,"Decision Support System (DSS)",""
IS1.4.6.1,3,"Data Quality and Model Controls","System designed to support decision-making activities, often requiring specific controls over data quality and models."
